23:44:44.561446 Foll S0  term:0  INFO  initialize finished
23:44:44.561626 Foll S1  term:0  INFO  initialize finished
23:44:44.561667 Foll S2  term:0  INFO  initialize finished
23:44:44.561700 Foll S3  term:0  INFO  initialize finished
23:44:44.561719 Foll S4  term:0  INFO  initialize finished
Test: one client (3A) ...
23:44:44.572124 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.572209 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.572283 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.572364 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.572454 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.572617 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.572726 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.572823 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.572930 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573024 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573120 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573194 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573280 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573357 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573436 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573521 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573598 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573712 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573798 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573883 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.573959 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574034 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574108 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574183 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574255 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574328 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574402 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574476 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574564 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574641 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574715 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574788 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574861 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.574934 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575007 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575079 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575151 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575225 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575298 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575370 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575448 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575545 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575631 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575708 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575780 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575854 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.575928 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576002 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576076 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576155 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576248 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576324 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576402 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576477 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576572 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576651 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576724 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576807 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576894 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.576972 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.577045 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.577140 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.577483 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.577997 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578093 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578186 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578270 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578352 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578440 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578544 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578629 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578715 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578803 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578892 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.578972 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
